WD Blue WD10EZEX 1 ТБ 1 ТБ, 64 МБ, 7200 rpm;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:3.5 /Обороты:7200 об/мин;2 490;Жесткие диски
Seagate BarraCuda Compute ST2000DM008 2 ТБ 256/7200;Тип жесткого диска:внутренний/Емкость:2000 ГБ/Формат:3.5 /Обороты:7200 об/мин;3 900;Жесткие диски
Toshiba Canvio Basics New 2.5 HDTB410EK3AA 1 ТБ;Тип жесткого диска:внешний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;3 460;Жесткие диски
WD Black Performance Mobile 2.5 WD10SPSX 1 ТБ;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:2.5 /Обороты:7200 об/мин;3 720;Жесткие диски
Seagate IronWolf ST4000VN008 4 ТБ;Тип жесткого диска:внутренний/Емкость:4000 ГБ/Формат:3.5 /Обороты:5900 об/мин;8 200;Жесткие диски
Toshiba P300 HDWD110EZSTA 1 ТБ CMR;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:3.5 /Обороты:7200 об/мин;2 700;Жесткие диски
WD Red Plus WD40EFZX 4 ТБ;Тип жесткого диска:внутренний/Емкость:4000 ГБ/Формат:3.5 /Обороты:5400 об/мин;8 580;Жесткие диски
WD Passport Portable WDBPKJ0040BBK-WESN 4 ТБ;Тип жесткого диска:внешний/Емкость:4000 ГБ/Формат:2.5 ;5 650;Жесткие диски
WD Ultrastar DC HC550 WUH721816ALE6L4 16 ТБ SATA;Тип жесткого диска:внутренний/Емкость:16000 ГБ/Формат:3.5 /Обороты:7200 об/мин;27 284;Жесткие диски
WD Purple WD40PURZ 4 ТБ на 64 камеры;Тип жесткого диска:внутренний/Емкость:4000 ГБ/Формат:3.5 /Обороты:5400 об/мин;7 820;Жесткие диски
Seagate BarraCuda Compute 2.5 ST1000LM048 1 ТБ;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;2 958;Жесткие диски
WD Elements Portable 3.0 2.5 WDBU6Y0040BBK 4 ТБ;Тип жесткого диска:внешний/Емкость:4000 ГБ/Формат:2.5 /Обороты:5400 об/мин;7 090;Жесткие диски
WD NasWare Red WD40EFAX 4 ТБ;Тип жесткого диска:внутренний/Емкость:4000 ГБ/Формат:3.5 /Обороты:5400 об/мин;7 700;Жесткие диски
Seagate Exos X18 ST18000NM000J 18 ТБ SATA;Тип жесткого диска:внутренний/Емкость:18000 ГБ/Формат:3.5 /Обороты:7200 об/мин;31 570;Жесткие диски
Transcend StoreJet 25M3 2.5 TS1TSJ25M3G 1 ТБ;Тип жесткого диска:внешний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;4 260;Жесткие диски
Toshiba Canvio Ready 2.5 HDTP210EK3AA 1 ТБ;Тип жесткого диска:внешний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;3 579;Жесткие диски
WD NasWare Red 2.5 WD10JFCX 1 ТБ;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;4 990;Жесткие диски
Toshiba MG09 MG09ACA18TE 18 ТБ;Тип жесткого диска:внутренний/Емкость:18000 ГБ/Формат:3.5 /Обороты:7200 об/мин;31 042;Жесткие диски
Seagate SkyHawk ST2000VX008 2 ТБ CMR;Тип жесткого диска:внутренний/Емкость:2000 ГБ/Формат:3.5 /Обороты:5900 об/мин;4 820;Жесткие диски
Seagate BarraCuda Pro Compute 2.5 ST1000LM049 1 ТБ;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:2.5 /Обороты:7200 об/мин;4 050;Жесткие диски
Toshiba L200 2.5 HDWL120UZSVA 2 ТБ;Тип жесткого диска:внутренний/Емкость:2000 ГБ/Формат:2.5 /Обороты:5400 об/мин;4 650;Жесткие диски
WD Elements SE WDBEPK0010BBK-WESN 1 ТБ;Тип жесткого диска:внешний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;3 300;Жесткие диски
Toshiba X300 HDWE140EZSTA 4 ТБ;Тип жесткого диска:внутренний/Емкость:4000 ГБ/Формат:3.5 /Обороты:7200 об/мин;7 930;Жесткие диски
WD Blue 2.5 WD10SPZX 1 ТБ 128/5400;Тип жесткого диска:внутренний/Емкость:1000 ГБ/Формат:2.5 /Обороты:5400 об/мин;3 610;Жесткие диски
